,route_or_line,time,gated_entries,temp,precip,preciptype,snow,traincnt,date
128,Red Line,2022-01-03 19:00:00,952.8,26.9,0.0,snow,0.1,20,2022-01-03
129,Red Line,2022-01-03 19:30:00,784.08,26.9,0.0,snow,0.1,22,2022-01-03
130,Red Line,2022-01-03 20:00:00,651.12,26.9,0.0,snow,0.1,22,2022-01-03
131,Red Line,2022-01-03 20:30:00,558.19,26.9,0.0,snow,0.1,22,2022-01-03
132,Red Line,2022-01-03 21:00:00,527.39,26.9,0.0,snow,0.1,22,2022-01-03
133,Red Line,2022-01-03 21:30:00,518.18,26.9,0.0,snow,0.1,22,2022-01-03
134,Red Line,2022-01-03 22:00:00,467.93,26.9,0.0,snow,0.1,23,2022-01-03
135,Red Line,2022-01-03 22:30:00,290.82,26.9,0.0,snow,0.1,23,2022-01-03
136,Red Line,2022-01-03 23:00:00,347.79,26.9,0.0,snow,0.1,22,2022-01-03
137,Red Line,2022-01-03 23:30:00,206.5,26.9,0.0,snow,0.1,22,2022-01-03
138,Red Line,2022-01-04 00:00:00,104.65,24.0,0.0,,0.0,23,2022-01-04
139,Red Line,2022-01-04 00:30:00,52.06,24.0,0.0,,0.0,22,2022-01-04
140,Red Line,2022-01-04 01:00:00,34.08,24.0,0.0,,0.0,20,2022-01-04
141,Red Line,2022-01-04 01:30:00,10.22,24.0,0.0,,0.0,18,2022-01-04
142,Red Line,2022-01-04 02:00:00,4.0,24.0,0.0,,0.0,19,2022-01-04
143,Red Line,2022-01-04 02:30:00,1.0,24.0,0.0,,0.0,18,2022-01-04
144,Red Line,2022-01-04 03:30:00,5.0,24.0,0.0,,0.0,17,2022-01-04
145,Red Line,2022-01-04 04:00:00,9.0,24.0,0.0,,0.0,17,2022-01-04
146,Red Line,2022-01-04 04:30:00,101.24,24.0,0.0,,0.0,17,2022-01-04
147,Red Line,2022-01-04 05:00:00,691.62,24.0,0.0,,0.0,18,2022-01-04
148,Red Line,2022-01-04 05:30:00,1012.68,24.0,0.0,,0.0,15,2022-01-04
149,Red Line,2022-01-04 06:00:00,1545.34,24.0,0.0,,0.0,6,2022-01-04
150,Red Line,2022-01-04 06:30:00,1729.44,24.0,0.0,,0.0,3,2022-01-04
151,Red Line,2022-01-04 07:00:00,2284.49,24.0,0.0,,0.0,0,2022-01-04
152,Red Line,2022-01-04 07:30:00,2581.08,24.0,0.0,,0.0,0,2022-01-04
153,Red Line,2022-01-04 08:00:00,2363.46,24.0,0.0,,0.0,0,2022-01-04
154,Red Line,2022-01-04 08:30:00,1959.17,24.0,0.0,,0.0,0,2022-01-04
155,Red Line,2022-01-04 09:00:00,1444.88,24.0,0.0,,0.0,2,2022-01-04
156,Red Line,2022-01-04 09:30:00,1210.9,24.0,0.0,,0.0,3,2022-01-04
157,Red Line,2022-01-04 10:00:00,1090.67,24.0,0.0,,0.0,9,2022-01-04
158,Red Line,2022-01-04 10:30:00,1062.89,24.0,0.0,,0.0,18,2022-01-04
159,Red Line,2022-01-04 11:00:00,971.56,24.0,0.0,,0.0,21,2022-01-04
160,Red Line,2022-01-04 11:30:00,1137.94,24.0,0.0,,0.0,22,2022-01-04
161,Red Line,2022-01-04 12:00:00,1200.04,24.0,0.0,,0.0,22,2022-01-04
162,Red Line,2022-01-04 12:30:00,1185.66,24.0,0.0,,0.0,22,2022-01-04
163,Red Line,2022-01-04 13:00:00,1318.7,24.0,0.0,,0.0,22,2022-01-04
164,Red Line,2022-01-04 13:30:00,1475.88,24.0,0.0,,0.0,22,2022-01-04
165,Red Line,2022-01-04 14:00:00,1865.2,24.0,0.0,,0.0,22,2022-01-04
166,Red Line,2022-01-04 14:30:00,2149.02,24.0,0.0,,0.0,22,2022-01-04
167,Red Line,2022-01-04 15:00:00,2510.22,24.0,0.0,,0.0,22,2022-01-04
168,Red Line,2022-01-04 15:30:00,2407.26,24.0,0.0,,0.0,22,2022-01-04
169,Red Line,2022-01-04 16:00:00,2651.16,24.0,0.0,,0.0,21,2022-01-04
170,Red Line,2022-01-04 16:30:00,2745.17,24.0,0.0,,0.0,18,2022-01-04
171,Red Line,2022-01-04 17:00:00,3012.43,24.0,0.0,,0.0,18,2022-01-04
172,Red Line,2022-01-04 17:30:00,2227.36,24.0,0.0,,0.0,18,2022-01-04
173,Red Line,2022-01-04 18:00:00,1886.58,24.0,0.0,,0.0,20,2022-01-04
174,Red Line,2022-01-04 18:30:00,1289.07,24.0,0.0,,0.0,21,2022-01-04
175,Red Line,2022-01-04 19:00:00,1103.07,24.0,0.0,,0.0,21,2022-01-04
176,Red Line,2022-01-04 19:30:00,841.31,24.0,0.0,,0.0,21,2022-01-04
177,Red Line,2022-01-04 20:00:00,750.24,24.0,0.0,,0.0,23,2022-01-04
178,Red Line,2022-01-04 20:30:00,619.15,24.0,0.0,,0.0,22,2022-01-04
179,Red Line,2022-01-04 21:00:00,647.29,24.0,0.0,,0.0,23,2022-01-04
180,Red Line,2022-01-04 21:30:00,592.47,24.0,0.0,,0.0,23,2022-01-04
181,Red Line,2022-01-04 22:00:00,617.35,24.0,0.0,,0.0,23,2022-01-04
182,Red Line,2022-01-04 22:30:00,352.02,24.0,0.0,,0.0,23,2022-01-04
183,Red Line,2022-01-04 23:00:00,410.18,24.0,0.0,,0.0,22,2022-01-04
184,Red Line,2022-01-04 23:30:00,191.74,24.0,0.0,,0.0,22,2022-01-04
185,Red Line,2022-01-05 00:00:00,131.54,40.9,0.126,rain,0.0,22,2022-01-05
186,Red Line,2022-01-05 00:30:00,46.26,40.9,0.126,rain,0.0,22,2022-01-05
187,Red Line,2022-01-05 01:00:00,29.75,40.9,0.126,rain,0.0,20,2022-01-05
188,Red Line,2022-01-05 01:30:00,8.0,40.9,0.126,rain,0.0,19,2022-01-05
189,Red Line,2022-01-05 02:00:00,5.0,40.9,0.126,rain,0.0,18,2022-01-05
190,Red Line,2022-01-05 02:30:00,2.0,40.9,0.126,rain,0.0,18,2022-01-05
191,Red Line,2022-01-05 03:30:00,7.0,40.9,0.126,rain,0.0,19,2022-01-05
192,Red Line,2022-01-05 04:00:00,6.7,40.9,0.126,rain,0.0,18,2022-01-05
193,Red Line,2022-01-05 04:30:00,65.26,40.9,0.126,rain,0.0,17,2022-01-05
194,Red Line,2022-01-05 05:00:00,690.25,40.9,0.126,rain,0.0,17,2022-01-05
195,Red Line,2022-01-05 05:30:00,1023.99,40.9,0.126,rain,0.0,15,2022-01-05
196,Red Line,2022-01-05 06:00:00,1524.77,40.9,0.126,rain,0.0,7,2022-01-05
197,Red Line,2022-01-05 06:30:00,1900.28,40.9,0.126,rain,0.0,3,2022-01-05
198,Red Line,2022-01-05 07:00:00,2400.58,40.9,0.126,rain,0.0,0,2022-01-05
199,Red Line,2022-01-05 07:30:00,2642.12,40.9,0.126,rain,0.0,0,2022-01-05
