,route_or_line,date,gated_entries,temp,precip,preciptype,snow,traincnt,single_traincap,line_length_sec,tot_linecap,per_thirty_cap,supply_gap_simple,prev_supply_gap_simple,gated_entries_complex,supply_gap_complex
67,Red Line,2022-03-09,92356.61,34.7,0.252,"rain,snow",0.0,17.354166666666668,852,2520,14785.75,10913.291604166667,-431481.387,16694.806,109051.416,-414786.581
68,Red Line,2022-03-10,97842.43,39.3,0.0,,0.0,17.666666666666668,852,2520,15052.0,11109.8094375,-435428.423,21041.817,118884.247,-414386.60599999997
69,Red Line,2022-03-11,94653.71,41.3,0.0,,0.0,17.375,852,2520,14803.5,10926.392791666667,-429813.14400000003,11555.966,106209.676,-418257.178
70,Red Line,2022-03-12,39487.82,37.5,0.36,"rain,snow",0.0,9.869565217391305,852,2520,8408.869565217392,6206.546391304349,-246013.314,746.445,40234.265,-245266.869
71,Red Line,2022-03-13,35069.85,28.5,0.0,,0.0,7.808510638297872,852,2520,6652.851063829788,4910.437425531915,-195720.709,0.0,35069.85,-195720.709
72,Red Line,2022-03-14,81704.3,40.4,0.0,,0.0,15.958333333333334,852,2520,13596.5,10035.511812499999,-400000.267,9245.498,90949.798,-390754.769
73,Red Line,2022-03-15,90045.7,47.0,0.0,,0.0,17.375,852,2520,14803.5,10926.392729166668,-434421.151,14225.175,104270.875,-420195.976
74,Red Line,2022-03-16,90724.37,43.1,0.02,rain,0.0,17.895833333333332,852,2520,15247.25,11253.922520833332,-449463.911,7881.244000000001,98605.614,-441582.667
75,Red Line,2022-03-17,93382.21,43.8,0.036,rain,0.0,17.729166666666668,852,2520,15105.25,11149.113083333332,-441775.218,12561.52,105943.73,-429213.698
76,Red Line,2022-03-18,95937.26,55.2,0.0,,0.0,17.891304347826086,852,2520,15243.391304347826,11251.0745,-421612.167,5646.773,101584.033,-415965.394
77,Red Line,2022-03-19,52335.47,47.8,0.147,rain,0.0,14.354166666666666,852,2520,12229.75,9026.720020833332,-380947.091,279.913,52615.383,-380667.178
78,Red Line,2022-03-20,61603.16,52.4,0.065,rain,0.0,14.869565217391305,852,2520,12668.869565217392,9350.832195652174,-368535.121,228.386,61831.546,-368306.735
79,Red Line,2022-03-21,86516.01,49.7,0.0,,0.0,16.979166666666668,852,2520,14466.25,10677.470125,-426002.556,13211.892,99727.902,-412790.664
80,Red Line,2022-03-22,95825.58,43.7,0.0,,0.0,17.583333333333332,852,2520,14981.0,11057.404666666667,-434929.844,15715.654,111541.234,-419214.19
81,Red Line,2022-03-23,97518.98000000001,38.8,0.0,,0.0,17.166666666666668,852,2520,14626.0,10795.380895833334,-420659.303,17699.052,115218.032,-402960.251
82,Red Line,2022-03-24,90785.9,41.0,0.535,rain,0.0,17.6875,852,2520,15069.75,11122.910583333332,-443113.808,12792.17,103578.07,-430321.638
83,Red Line,2022-03-25,94346.09,47.5,0.469,rain,0.0,17.791666666666668,852,2520,15158.5,11188.416645833333,-442697.909,9311.77,103657.86,-433386.13899999997
84,Red Line,2022-03-26,59286.71,48.6,0.321,rain,0.0,14.106382978723405,852,2520,12018.63829787234,8870.899510638297,-357645.567,0.0,59286.71,-357645.567
85,Red Line,2022-03-27,44915.45,43.3,0.0,,0.0,12.914893617021276,852,2520,11003.489361702128,8121.622872340426,-336800.825,702.199,45617.649,-336098.626
86,Red Line,2022-03-28,83433.71,28.4,0.011,snow,0.0,17.166666666666668,852,2520,14626.0,10795.380916666667,-434744.574,12641.827000000001,96075.537,-422102.747
87,Red Line,2022-03-29,92766.84,28.8,0.0,,0.0,17.125,852,2520,14590.5,10769.1785,-424153.728,14885.57,107652.41,-409268.158
88,Red Line,2022-03-30,96976.66,38.8,0.0,,0.0,17.895833333333332,852,2520,15247.25,11253.922541666667,-443211.622,15832.315,112808.975,-427379.307
89,Red Line,2022-03-31,99188.33,53.4,0.011,rain,0.0,17.895833333333332,852,2520,15247.25,11253.922583333333,-440999.954,12030.168,111218.49799999999,-428969.786
90,Red Line,2022-04-01,95571.87,54.1,0.543,rain,0.0,18.208333333333332,852,2520,15513.5,11450.440395833333,-454049.269,6837.517,102409.387,-447211.752
91,Red Line,2022-04-02,55313.0,45.4,0.0,,0.0,10.1875,852,2520,8679.75,6406.482,-252198.136,197.063,55510.063,-252001.073
92,Red Line,2022-04-03,37253.69,42.5,0.0,,0.0,7.8125,852,2520,6656.25,4912.9461249999995,-198567.724,423.63599999999997,37677.326,-198144.088
93,Red Line,2022-04-04,87756.97,46.9,0.011,rain,0.0,15.958333333333334,852,2520,13596.5,10035.511833333332,-393947.598,13813.966,101570.936,-380133.632
94,Red Line,2022-04-05,99445.29000000001,49.8,0.0,,0.0,17.8125,852,2520,15176.25,11201.517875,-438227.56799999997,16039.377,115484.667,-422188.191
95,Red Line,2022-04-06,97055.01,45.0,0.114,rain,0.0,18.1875,852,2520,15495.75,11437.339229166668,-451937.273,11760.958,108815.968,-440176.315
96,Red Line,2022-04-07,100175.77,44.5,0.0,,0.0,17.833333333333332,852,2520,15194.0,11214.619041666667,-438125.944,15716.007,115891.777,-422409.937
97,Red Line,2022-04-08,94992.9,53.9,0.174,rain,0.0,17.708333333333332,852,2520,15087.5,11136.011854166667,-439535.669,13217.612,108210.512,-426318.05700000003
98,Red Line,2022-04-09,52070.51,49.4,0.113,rain,0.0,9.9375,852,2520,8466.75,6249.267729166667,-247894.341,346.033,52416.543,-247548.308
99,Red Line,2022-04-10,39747.52,47.5,0.0,,0.0,7.541666666666667,852,2520,6425.5,4742.6306875,-187898.753,882.2090000000001,40629.729,-187016.544
100,Red Line,2022-04-11,90117.44,50.8,0.0,,0.0,15.5,852,2520,13206.0,9747.285541666666,-377752.266,16848.197,106965.637,-360904.069
101,Red Line,2022-04-12,100750.27,57.5,0.032,rain,0.0,17.75,852,2520,15123.0,11162.214166666667,-435036.01,16152.807,116903.077,-418883.203
102,Red Line,2022-04-13,102083.81999999999,59.7,0.0,,0.0,17.25,852,2520,14697.0,10847.785625,-418609.89,16515.225,118599.045,-402094.665
103,Red Line,2022-04-14,98886.95,48.1,0.168,rain,0.0,17.5625,852,2520,14963.25,11044.303541666666,-431239.62,14511.805,113398.755,-416727.815
104,Red Line,2022-04-15,94382.32,56.6,0.061,rain,0.0,17.75,852,2520,15123.0,11162.214208333333,-441403.962,3980.637,98362.957,-437423.325
105,Red Line,2022-04-16,63845.35,58.2,0.13,rain,0.0,14.375,852,2520,12247.5,9039.8211875,-370066.067,0.0,63845.35,-370066.067
106,Red Line,2022-04-17,46558.19,45.3,0.243,rain,0.0,13.0625,852,2520,11129.25,8214.446166666667,-347735.226,78.416,46636.606,-347656.81
107,Red Line,2022-04-18,81660.75,45.0,0.0,,0.0,17.354166666666668,852,2520,14785.75,10913.291458333333,-442177.24,5169.3060000000005,86830.056,-437007.934
108,Red Line,2022-04-19,95325.56,48.5,0.479,rain,0.0,17.458333333333332,852,2520,14874.5,10978.797479166666,-431656.719,10513.748,105839.308,-421142.971
109,Red Line,2022-04-20,99718.53,48.8,0.0,,0.0,17.520833333333332,852,2520,14927.75,11018.101104166666,-429150.323,13050.107,112768.637,-416100.216
110,Red Line,2022-04-21,98012.04,50.5,0.0,,0.0,17.458333333333332,852,2520,14874.5,10978.797666666665,-428970.248,15027.395,113039.435,-413942.853
111,Red Line,2022-04-22,94098.90000000001,57.0,0.0,,0.0,16.854166666666668,852,2520,14359.75,10598.863104166667,-414646.529,7705.531,101804.431,-406940.998
112,Red Line,2022-04-23,33778.53,51.1,0.0,,0.0,9.854166666666666,852,2520,8395.75,6196.862916666666,-263670.89,0.0,33778.53,-263670.89
113,Red Line,2022-04-24,30987.8,46.8,0.0,,0.0,9.8125,852,2520,8360.25,6170.660458333333,-265203.902,0.0,30987.8,-265203.902
114,Red Line,2022-04-25,84151.07,48.7,0.0,,0.0,16.770833333333332,852,2520,14288.75,10546.458208333333,-422078.924,13634.279,97785.349,-408444.645
115,Red Line,2022-04-26,92592.4,49.8,0.116,rain,0.0,17.0625,852,2520,14537.25,10729.874958333334,-422441.598,16219.305,108811.705,-406222.293
116,Red Line,2022-04-27,96494.44,51.9,0.204,rain,0.0,17.520833333333332,852,2520,14927.75,11018.1010625,-432374.411,15281.782,111776.22200000001,-417092.629
117,Red Line,2022-04-28,96644.53,45.8,0.0,,0.0,17.708333333333332,852,2520,15087.5,11136.011895833333,-437884.041,14861.647,111506.177,-423022.394
118,Red Line,2022-04-29,90369.17,47.4,0.0,,0.0,17.5625,852,2520,14963.25,11044.3035,-439757.398,12023.856,102393.026,-427733.542
119,Red Line,2022-04-30,56603.16,47.1,0.0,,0.0,14.0625,852,2520,11981.25,8843.303354166666,-367875.401,289.706,56892.866,-367585.695
120,Red Line,2022-05-01,45240.2,53.4,0.0,,0.0,13.3125,852,2520,11342.25,8371.660479166667,-356599.503,0.0,45240.2,-356599.503
121,Red Line,2022-05-02,84198.47,49.8,0.134,rain,0.0,16.8125,852,2520,14324.25,10572.660625,-423289.24,13047.099999999999,97245.57,-410242.14
122,Red Line,2022-05-03,97392.92,48.4,0.122,rain,0.0,17.604166666666668,852,2520,14998.75,11070.505916666667,-433991.364,15029.234,112422.154,-418962.13
123,Red Line,2022-05-04,94285.71,49.8,0.091,rain,0.0,17.25,852,2520,14697.0,10847.785645833334,-426408.001,14352.4,108638.11,-412055.601
124,Red Line,2022-05-05,104329.29,58.2,0.0,,0.0,17.833333333333332,852,2520,15194.0,11214.618916666666,-433972.418,15546.715,119876.005,-418425.703
125,Red Line,2022-05-06,94851.24,55.9,0.0,,0.0,17.833333333333332,852,2520,15194.0,11214.618895833335,-443450.467,5736.55,100587.79,-437713.917
126,Red Line,2022-05-07,57377.08,49.0,0.0,,0.0,14.3125,852,2520,12194.25,9000.517625,-374647.766,292.463,57669.543,-374355.303
127,Red Line,2022-05-08,42410.14,47.9,0.0,,0.0,12.9375,852,2520,11022.75,8135.8390625,-348110.135,759.636,43169.776,-347350.499
128,Red Line,2022-05-09,86559.43000000001,49.1,0.0,,0.0,17.0,852,2520,14484.0,10690.571291666667,-426587.99199999997,10418.229,96977.659,-416169.763
129,Red Line,2022-05-10,97442.81,51.8,0.0,,0.0,17.8125,852,2520,15176.25,11201.517833333333,-440230.046,8599.248,106042.058,-431630.798
130,Red Line,2022-05-11,97435.38,51.2,0.0,,0.0,17.770833333333332,852,2520,15140.75,11175.315395833333,-438979.75899999996,11421.174,108856.554,-427558.58499999996
131,Red Line,2022-05-12,98103.31,54.4,0.0,,0.0,17.9375,852,2520,15282.75,11280.125,-443342.69,11370.828000000001,109474.138,-431971.862
132,Red Line,2022-05-13,89025.05,61.8,0.0,,0.0,17.104166666666668,852,2520,14572.75,10756.0773125,-427266.661,7853.0199999999995,96878.07,-419413.641
133,Red Line,2022-05-14,66077.72,74.1,0.0,,0.0,14.375,852,2520,12247.5,9039.821208333333,-367833.69800000003,0.0,66077.72,-367833.69800000003
134,Red Line,2022-05-15,45876.21,69.5,0.011,rain,0.0,13.0,852,2520,11076.0,8175.1426458333335,-346530.637,513.233,46389.443,-346017.404
135,Red Line,2022-05-16,85142.34,66.3,0.081,rain,0.0,16.541666666666668,852,2520,14093.5,10402.345187500001,-414170.229,10680.314,95822.654,-403489.915
136,Red Line,2022-05-17,95985.13,65.1,0.011,rain,0.0,17.354166666666668,852,2520,14785.75,10913.291604166667,-427852.867,14881.464,110866.594,-412971.403
137,Red Line,2022-05-18,98185.27,61.9,0.0,,0.0,17.583333333333332,852,2520,14981.0,11057.404625000001,-432570.152,15836.582,114021.852,-416733.57
138,Red Line,2022-05-19,96552.42,57.4,0.011,rain,0.0,17.375,852,2520,14803.5,10926.392729166668,-427914.431,14507.505,111059.925,-413406.926
139,Red Line,2022-05-20,93777.81999999999,57.2,0.0,,0.0,17.604166666666668,852,2520,14998.75,11070.505854166666,-437606.461,3906.605,97684.425,-433699.856
140,Red Line,2022-05-21,61475.23,60.8,0.023,rain,0.0,14.666666666666666,852,2520,12496.0,9223.237916666667,-381240.19,0.0,61475.23,-381240.19
141,Red Line,2022-05-22,44820.62,69.9,0.089,rain,0.0,13.5625,852,2520,11555.25,8528.874854166666,-364565.373,0.0,44820.62,-364565.373
